sigma,kappa,W_max,n1,n2,K_a,K_b,theta,bNina,bNino,beta_out,alpha,muEI,muIR,muRS,tau,rho,S_0,E_0,I_0,R_0,K_0,F_0,W_0,sig_obs,delta
0.001052734375,3.9e-5,59.2578125,5.1328125,13.837890625,0.19619140625000003,0.9966796875,1.4296875,0,1.458984375,7.697265625e-4,0.8167968750000001,13.544921875,32.080078125,1.8330078125,0.003232421875,0.009134765625,0.5751953125,0.00626953125,0.00251953125,0.3603515625,0.001755859375,0.006361328125,0.02958984375,0.09311762135475876,0.01666666666666666
0.005552734375,3.9e-5,29.2578125,7.1328125,10.337890625,0.12119140625,0.9466796875,3.4296875,0,2.958984375,3.197265625e-4,0.916796875,25.711588541666668,19.913411458333336,3.5830078125,0.007732421875,0.033634765625,0.8251953125,0.00126953125,0.00751953125,0.1103515625,0.006255859375,0.001861328125,0.00458984375,0.15947309957118705,0.01666666666666666
0.007802734375,3.9e-5,44.2578125,4.1328125,8.587890625,0.15869140625,0.9216796875,0.4296875,0,0.708984375,9.947265625e-4,0.966796875,19.628255208333332,13.830078125,0.9580078125,0.009982421875,0.021384765625,0.9501953125,0.00876953125,0.00501953125,0.4853515625,0.008505859375,0.008611328125,0.04208984375,0.11785302871139722,0.01666666666666666
0.003302734375,3.9e-5,74.2578125,6.1328125,12.087890625,0.08369140625000002,0.9716796875,2.4296875,0,2.208984375,5.447265625e-4,0.866796875,31.794921875,25.996744791666668,2.7080078125,0.005482421875,0.045884765625,0.7001953125,0.00376953125,1.953125e-5,0.2353515625,0.004005859375,0.004111328125,0.01708984375,0.06178192164516077,0.01666666666666666
0.004427734375,3.9e-5,21.7578125,5.6328125,9.462890625,0.06494140625,0.9841796875,3.9296875,0,1.083984375,8.822265625e-4,0.941796875,16.586588541666664,29.038411458333336,3.1455078125,0.006607421875,0.015259765625,0.6376953125,0.00251953125,0.00626953125,0.0478515625,0.007380859375,0.005236328125,0.03583984375,0.06784383716294543,0.01666666666666666
0.008927734375,3.9e-5,51.7578125,7.6328125,12.962890625,0.13994140625,0.9341796875,1.9296875,0,2.583984375,4.322265625e-4,0.841796875,28.753255208333336,16.871744791666668,1.3955078125,0.002107421875,0.039759765625,0.8876953125,0.00751953125,0.00126953125,0.2978515625,0.002880859375,0.009736328125,0.01083984375,0.10343343005515636,0.01666666666666666
0.006677734375,3.9e-5,66.7578125,4.6328125,14.712890625,0.10244140625,0.9091796875,2.9296875,0,0.333984375,6.572265625e-4,0.891796875,22.669921875,22.955078125,2.2705078125,0.004357421875,0.003009765625,0.7626953125,1.953125e-5,0.00376953125,0.1728515625,0.005130859375,0.002986328125,0.04833984375,0.06673327173339204,0.01666666666666666
0.002177734375,3.9e-5,36.7578125,6.6328125,11.212890625,0.17744140625000004,0.9591796875,0.9296875,0,1.833984375,2.072265625e-4,0.991796875,34.83658854166667,35.12174479166667,0.5205078125,0.008857421875,0.027509765625,0.5126953125,0.00501953125,0.00876953125,0.4228515625,0.009630859375,0.007486328125,0.02333984375,0.05151460560737178,0.01666666666666666
0.002740234375,3.9e-5,78.0078125,7.8828125,9.900390625,0.16806640625000002,0.9904296875,2.6796875,0,0.896484375,1.509765625e-4,0.954296875,27.232421875,21.434244791666668,1.6142578125,0.001544921875,0.012197265625,0.6064453125,0.00439453125,0.00689453125,0.4541015625,0.001193359375,0.008048828125,0.04521484375,0.1195433741551824,0.01666666666666666
0.007240234375,3.9e-5,48.0078125,5.8828125,13.400390625,0.09306640625,0.9404296875,0.6796875,0,2.396484375,6.009765625000001e-4,0.8542968750000001,15.065755208333332,33.600911458333336,3.3642578125,0.006044921875,0.036697265625,0.8564453125,0.00939453125,0.00189453125,0.2041015625,0.005693359375,0.003548828125,0.02021484375,0.16711069711018356,0.01666666666666666
0.009490234375,3.9e-5,33.0078125,6.8828125,11.650390625,0.13056640625000002,0.9154296875,3.6796875,0,0.146484375,3.759765625e-4,0.804296875,33.315755208333336,27.517578125,0.7392578125,0.008294921875,0.024447265625,0.9814453125,0.00189453125,0.00439453125,0.3291015625,0.007943359375,0.005798828125,0.03271484375,0.18672655315604064,0.01666666666666666
0.004990234375,3.9e-5,63.0078125,4.8828125,8.150390625,0.05556640625,0.9654296875,1.6796875,0,1.646484375,8.259765625e-4,0.904296875,21.149088541666664,15.350911458333332,2.4892578125,0.003794921875,0.048947265625,0.7314453125,0.00689453125,0.00939453125,0.0791015625,0.003443359375,0.001298828125,0.00771484375,0.10964037572266536,0.01666666666666666
0.003865234375,3.9e-5,40.5078125,7.3828125,12.525390625,0.07431640625000001,0.9779296875,0.1796875,0,1.271484375,4.884765625e-4,0.8792968750000001,30.274088541666664,12.309244791666666,3.8017578125,0.007169921875,0.018322265625,0.6689453125,0.00564453125,0.00314453125,0.1416015625,0.006818359375,0.002423828125,0.03896484375,0.1743303427123465,0.01666666666666666
0.008365234375,3.9e-5,70.5078125,5.3828125,9.025390625,0.14931640625000003,0.9279296875,2.1796875,0,2.771484375,9.384765625e-4,0.979296875,18.107421875,24.475911458333336,2.0517578125,0.002669921875,0.042822265625,0.9189453125,6.4453125e-4,0.00814453125,0.3916015625,0.002318359375,0.006923828125,0.01396484375,0.0976550769410096,0.01666666666666666
0.006115234375,3.9e-5,55.5078125,6.3828125,10.775390625,0.11181640625,0.9029296875,1.1796875,0,0.521484375,2.634765625e-4,0.929296875,36.357421875,30.55924479166667,2.9267578125,0.004919921875,0.006072265625,0.7939453125,0.00814453125,0.00564453125,0.0166015625,0.004568359375,0.004673828125,0.02646484375,0.09223365721991286,0.01666666666666666
0.001615234375,3.9e-5,25.5078125,4.3828125,14.275390625,0.18681640625,0.9529296875,3.1796875,0,2.021484375,7.134765625e-4,0.829296875,24.190755208333336,18.392578125,1.1767578125,0.009419921875,0.030572265625,0.5439453125,0.00314453125,6.4453125e-4,0.2666015625,0.009068359375,0.009173828125,0.00146484375,0.10205603536451235,0.01666666666666666
0.001896484375,3.9e-5,49.8828125,4.5078125,12.306640625,0.14462890625000002,0.9498046875,2.0546875,0,2.115234375,8.541015625e-4,0.960546875,32.55533854166667,35.882161458333336,2.8173828125,0.002388671875,0.032103515625,0.7470703125,0.00845703125,9.5703125e-4,0.1259765625,0.001474609375,0.009455078125,0.04990234375,0.1825122349546291,0.01666666666666666
0.006396484375,3.9e-5,79.8828125,6.5078125,8.806640625,0.06962890625000001,0.9998046875,0.0546875,0,0.615234375,4.041015625e-4,0.860546875,20.388671875,23.715494791666668,1.0673828125,0.006888671875,0.007603515625,0.9970703125,0.00345703125,0.00595703125,0.3759765625,0.005974609375,0.004955078125,0.02490234375,0.0964621466700919,0.01666666666666666
0.008646484375,3.9e-5,64.8828125,5.5078125,10.556640625,0.18212890625,0.9748046875,3.0546875,0,2.865234375,6.291015625e-4,0.810546875,26.472005208333336,17.632161458333332,3.6923828125,0.009138671875,0.044353515625,0.8720703125,0.00595703125,0.00845703125,9.765625e-4,0.008224609375,0.007205078125,0.03740234375,0.10456337440991775,0.01666666666666666
0.004146484375,3.9e-5,34.8828125,7.5078125,14.056640625,0.10712890625000002,0.9248046875,1.0546875,0,1.365234375,1.791015625e-4,0.910546875,14.305338541666666,29.798828125,1.9423828125,0.004638671875,0.019853515625,0.6220703125,9.5703125e-4,0.00345703125,0.2509765625,0.003724609375,0.002705078125,0.01240234375,0.05542712887981907,0.01666666666666666
0.005271484375,3.9e-5,72.3828125,4.0078125,11.431640625,0.08837890625,0.9373046875,0.5546875,0,1.740234375,7.416015625000001e-4,0.8855468750000001,35.597005208333336,26.757161458333336,0.6298828125,0.005763671875,0.038228515625,0.5595703125,0.00220703125,0.00970703125,0.4384765625,0.007099609375,0.001580078125,0.04365234375,0.17315950186457488,0.01666666666666666
0.009771484375,3.9e-5,42.3828125,6.0078125,14.931640625,0.16337890625,0.9873046875,2.5546875,0,0.240234375,2.916015625e-4,0.985546875,23.430338541666668,14.590494791666666,2.3798828125,0.001263671875,0.013728515625,0.8095703125,0.00720703125,0.00470703125,0.1884765625,0.002599609375,0.006080078125,0.01865234375,0.1873526367591694,0.01666666666666666
0.007521484375,3.9e-5,27.3828125,5.0078125,13.181640625,0.05087890625,0.9623046875,1.5546875,0,2.490234375,9.666015625e-4,0.935546875,29.513671875,20.673828125,1.5048828125,0.003513671875,0.025978515625,0.9345703125,0.00470703125,0.00220703125,0.3134765625,0.004849609375,0.003830078125,0.03115234375,0.11606291061034428,0.01666666666666666
0.003021484375,3.9e-5,57.3828125,7.0078125,9.681640625,0.12587890625000003,0.9123046875,3.5546875,0,0.990234375,5.166015625e-4,0.835546875,17.347005208333332,32.84049479166667,3.2548828125,0.008013671875,0.001478515625,0.6845703125,0.00970703125,0.00720703125,0.0634765625,0.009349609375,0.008330078125,0.00615234375,0.124233996483963,0.01666666666666666
0.002458984375,3.9e-5,31.1328125,6.2578125,8.369140625,0.13525390625,0.9435546875,1.8046875,0,1.552734375,4.603515625e-4,0.8230468750000001,18.867838541666668,19.152994791666668,2.5986328125,0.001826171875,0.035166015625,0.7158203125,3.3203125e-4,0.00908203125,0.0322265625,0.002037109375,0.006642578125,0.02802734375,0.05330528271151707,0.01666666666666666
0.006958984375,3.9e-5,61.1328125,4.2578125,11.869140625,0.06025390625,0.9935546875,3.8046875,0,0.052734375,9.103515625e-4,0.923046875,31.034505208333336,31.319661458333336,0.8486328125,0.006326171875,0.010666015625,0.9658203125,0.00533203125,0.00408203125,0.2822265625,0.006537109375,0.002142578125,0.00302734375,0.15357867934508251,0.01666666666666666
0.009208984375,3.9e-5,76.1328125,7.2578125,13.619140625,0.17275390625000003,0.9685546875,0.8046875,0,2.302734375,2.353515625e-4,0.973046875,12.784505208333332,25.236328125,3.4736328125,0.008576171875,0.047416015625,0.8408203125,0.00283203125,0.00158203125,0.1572265625,0.008787109375,0.008892578125,0.04052734375,0.14422917877091096,0.01666666666666666
0.004708984375,3.9e-5,46.1328125,5.2578125,10.119140625,0.09775390625,0.9185546875,2.8046875,0,0.802734375,6.853515625e-4,0.873046875,24.951171875,13.069661458333332,1.7236328125,0.004076171875,0.022916015625,0.5908203125,0.00783203125,0.00658203125,0.4072265625,0.004287109375,0.004392578125,0.01552734375,0.16738908955594528,0.01666666666666666
0.003583984375,3.9e-5,53.6328125,6.7578125,14.494140625,0.11650390625,0.9310546875,3.3046875,0,1.927734375,1.228515625e-4,0.948046875,21.909505208333336,16.111328125,1.2861328125,0.007451171875,0.041291015625,0.5283203125,0.00908203125,3.3203125e-4,0.3447265625,0.007662109375,0.003267578125,0.03427734375,0.17158223150763663,0.01666666666666666
0.008083984375,3.9e-5,23.6328125,4.7578125,10.994140625,0.19150390625,0.9810546875,1.3046875,0,0.427734375,5.728515625e-4,0.8480468750000001,34.076171875,28.277994791666664,3.0361328125,0.002951171875,0.016791015625,0.7783203125,0.00408203125,0.00533203125,0.0947265625,0.003162109375,0.007767578125,0.00927734375,0.09584232256747782,0.01666666666666666
0.005833984375,3.9e-5,38.6328125,7.7578125,9.244140625,0.07900390625,0.9560546875,2.3046875,0,2.677734375,3.4785156249999996e-4,0.898046875,15.826171875,34.361328125,2.1611328125,0.005201171875,0.029041015625,0.9033203125,0.00658203125,0.00783203125,0.4697265625,0.005412109375,0.001017578125,0.04677734375,0.10092944432981311,0.01666666666666666
0.001333984375,3.9e-5,68.6328125,5.7578125,12.744140625,0.15400390625000002,0.9060546875,0.3046875,0,1.177734375,7.978515625000001e-4,0.998046875,27.992838541666668,22.194661458333336,3.9111328125,0.009701171875,0.004541015625,0.6533203125,0.00158203125,0.00283203125,0.2197265625,0.009912109375,0.005517578125,0.02177734375,0.14608921626349913,0.01666666666666666
0.001474609375,3.9e-5,33.9453125,7.4453125,10.666015625,0.10478515625,0.9701171875,3.8671875,0,2.724609375,5.869140625e-4,0.8386718750000001,20.008463541666668,36.26236979166667,2.2158203125,0.008998046875,0.012962890625,0.9111328125,0.00830078125,0.00642578125,0.1025390625,0.007802734375,0.008751953125,0.00537109375,0.09418380768038334,0.01666666666666666
0.005974609375,3.9e-5,63.9453125,5.4453125,14.166015625,0.17978515625000002,0.9201171875,1.8671875,0,1.224609375,1.369140625e-4,0.938671875,32.175130208333336,24.095703125,3.9658203125,0.004498046875,0.037462890625,0.6611328125,0.00330078125,0.00142578125,0.3525390625,0.003302734375,0.004251953125,0.03037109375,0.1889509901520796,0.01666666666666666
0.008224609375,3.9e-5,78.9453125,6.4453125,12.416015625,0.06728515625,0.9451171875,2.8671875,0,1.974609375,8.119140625e-4,0.988671875,13.925130208333332,18.012369791666668,1.3408203125,0.002248046875,0.025212890625,0.5361328125,0.00580078125,0.00392578125,0.2275390625,0.001052734375,0.006501953125,0.01787109375,0.11373377009294929,0.01666666666666666
0.003724609375,3.9e-5,48.9453125,4.4453125,8.916015625,0.14228515625000002,0.9951171875,0.8671875,0,0.474609375,3.619140625e-4,0.888671875,26.091796875,30.179036458333336,3.0908203125,0.006748046875,0.049712890625,0.7861328125,8.007812500000001e-4,0.00892578125,0.4775390625,0.005552734375,0.002001953125,0.04287109375,0.07589707613224164,0.01666666666666666
0.004849609375,3.9e-5,56.4453125,7.9453125,11.541015625,0.16103515625000003,0.9576171875,1.3671875,0,2.349609375,9.244140625e-4,0.913671875,23.050130208333336,27.137369791666668,3.5283203125,0.003373046875,0.019087890625,0.8486328125,0.00205078125,0.00267578125,0.2900390625,0.004427734375,0.003126953125,0.01162109375,0.0566165694152005,0.01666666666666666
0.009349609375,3.9e-5,26.4453125,5.9453125,8.041015625,0.08603515625000001,0.9076171875,3.3671875,0,0.849609375,4.744140625e-4,0.813671875,35.216796875,14.970703125,1.7783203125,0.007873046875,0.043587890625,0.5986328125,0.00705078125,0.00767578125,0.0400390625,0.008927734375,0.007626953125,0.03662109375,0.08947978893993423,0.01666666666666666
0.007099609375,3.9e-5,41.4453125,6.9453125,9.791015625,0.19853515625,0.9326171875,0.3671875,0,1.599609375,6.994140625000001e-4,0.8636718750000001,16.966796875,21.054036458333336,2.6533203125,0.005623046875,0.006837890625,0.7236328125,0.00455078125,0.00517578125,0.4150390625,0.006677734375,0.005376953125,0.02412109375,0.11454483587294818,0.01666666666666666
0.002599609375,3.9e-5,71.4453125,4.9453125,13.291015625,0.12353515625,0.9826171875,2.3671875,0,0.099609375,2.494140625e-4,0.963671875,29.133463541666664,33.220703125,0.9033203125,0.001123046875,0.031337890625,0.9736328125,0.00955078125,1.7578125e-4,0.1650390625,0.002177734375,0.009876953125,0.04912109375,0.1968274778686464,0.01666666666666666
0.003162109375,3.9e-5,45.1953125,5.6953125,14.603515625,0.11416015625,0.9638671875,0.1171875,0,2.537109375,3.056640625e-4,0.976171875,30.654296875,19.533203125,1.5595703125,0.008435546875,0.009900390625,0.8798828125,1.7578125e-4,0.00330078125,0.1962890625,0.008365234375,0.005939453125,0.02099609375,0.11679456550627948,0.01666666666666666
