"sample","sigma","kappa","W_max","n1","n2","K_a","K_b","theta","bNina","bNino","beta_out","alpha","delta","muEI","muIR","muRS","tau","rho","S_0","E_0","I_0","R_0","K_0","F_0","W_0","sig_obs","loglik","loglik.se","flag"
1,0.239704195679983,3.9e-05,0.240218323132815,0.912997440553026,1.58416698044935,0.362573341011683,0.999146013758784,3.01975953520073,0,0.708560384935528,0.0238745983662418,0.569039557702068,0.0166666666666667,53.5989521180409,410.530074866394,3.64373226775387,0.162257316959794,0.00196603111098022,0.907954968950382,0.00977588705469659,0.0078554754252554,0.0744136685696661,0.00407168486943222,0.00552871969993776,0.0381644898986265,0.18127144931646,-2874.06283361906,1.10494629248442,1
2,0.000729032043718349,3.9e-05,160.342139534862,0.461212311870929,0.549313419080263,0.885292358038982,0.626495248750869,3.02762015249431,0,0.562848723843665,0.00154831430693071,0.692568140328286,0.0166666666666667,15.8260976342482,475.889258809295,0.856438731980355,0.00270688964574724,0.0232999429142373,0.759340913445686,0.00251728045178077,0.000969690887350696,0.237172115215183,0.00943537539613243,0.00124094093851726,0.0113392933526455,0.593720426077877,-3158.35391111288,0.201398913299055,1
3,0.238525899008579,3.9e-05,0.931869013919244,2.69137541237192,424.593686526828,0.129937796219299,0.998390605981358,-1.20134040659106,0,0.603409408233843,0.000331735005252272,0.904854218291169,0.0166666666666667,6.99690920457651,12.3934536183563,9.53936470849912,0.00044355938630666,0.00100724303249938,0.808416297300429,0.0051640970981406,0.00399822501821584,0.182421380583215,0.00646141898055158,0.0090480946630249,0.0484791820914132,0.197074084333932,-2915.23535915361,0.95794104293503,1
4,0.00212799371494324,3.9e-05,7.68152758098877,22.6613511950923,0.40187730850437,0.0140059474279189,0.998938889219841,6.18799245820678,0,0.141739194897306,0.000161537685317561,0.989247147207162,0.0166666666666667,6.61921284120735,6434.62034917017,0.771846684970074,0.00267457569770961,0.0758532925800668,0.576346198410296,0.000527062774909054,0.00847742135474904,0.414649317460046,0.00154626964380958,0.0038028581540411,0.0235040389517012,0.573722385853189,-3184.1157652455,0.248994997651446,1
5,0.000823164842040939,3.9e-05,143.697820614177,1.17220387274893,0.3680738089643,0.373519197311523,0.964544239277216,4.32177415355208,0,0.126071878988016,0.0016506317182323,1.09000890606844,0.0166666666666667,23.5576462462728,35.1674309306973,0.669718974745626,0.00272675740735918,0.022185936421529,0.610832167721805,0.00193168643460112,0.00553740281204692,0.381698743031547,0.0101027960815958,0.00448955792558695,0.0286987741718055,0.528781610003615,-3152.33526641747,0.276602324937488,1
6,0.237901728515993,3.9e-05,4.01992410641057,0.516895209842606,1.89851030287666,0.476755939421389,0.964248428537151,4.65247219490615,0,0.302333262645926,0.0237926677685633,0.855921053319879,0.0166666666666667,7.5824236044324,94.4234053401636,5.38074085308019,0.0267731809073446,0.00165276105222301,0.846056046919657,0.00744858049601013,0.0105909526669517,0.135904419917382,0.00515750586964692,0.00985235615898918,0.00585181097705919,0.172749428628195,-2920.72723786883,0.427946758904949,1
7,0.237867420554591,3.9e-05,1.1168620776375,6.23995453360174,7.97565296756241,0.527290499662712,0.986779561761503,0.136531470836045,0,0.665314401287077,0.00253905631226509,0.429016076588658,0.0166666666666667,6.85135696621184,385.180267171649,1.82871381177275,0.00200736994460949,0.00185993538082145,0.646351616545944,0.0028417545260373,0.0051023973636729,0.345704231564346,0.0025895939521928,0.00227931979649989,0.0413002483979771,0.174733386754748,-2927.3419759217,2.22671506585665,1
8,0.00188124519166118,3.9e-05,1.59658112341135,0.975826165486317,4.56301782823696,0.246497961667893,0.999275253492497,1.32914425126808,0,0.409973651352115,0.00534876658614557,0.762514885899241,0.0166666666666667,9.95370747134195,12.9783657587227,1.3770701443824,0.00273699080026084,0.00598870337285548,0.720054578919473,0.00960999163929076,0.00253402951931075,0.267801399921926,0.00721594795187175,0.00685782894596107,0.0165885559178918,0.67935695600312,-3169.56186931167,0.028641739496045,1
9,0.176269968849513,3.9e-05,12.5533385093478,24.0756571082656,1.50784757535972,0.00096006502922523,0.996025335977336,2.49805466300422,0,0.358046545712349,0.000876088246240899,0.714099814414192,0.0166666666666667,5.73087288490365,51.3033329380133,7.50299630501662,0.00772438520116502,0.0148200999301237,0.586498493991723,0.00410211471818696,0.00231202234680382,0.407087368943287,0.00427347738606701,0.00843769559353703,0.0345125056881443,0.312670335114497,-2975.59036416443,0.381773232149204,1
10,0.304041566217748,3.9e-05,6.95090041347087,2.71749667866782,62.0610935904442,0.266438308932519,0.999041185073815,-1.06043127422854,0,0.794658146700735,0.00571806301669563,0.315841564132432,0.0166666666666667,26.9139373341963,20.7457762546856,0.229473411335731,0.155030615410865,0.00745287965151812,0.879920705865239,0.00877805221055964,0.0078731301237619,0.103428111800439,0.00906443416382548,0.00331356233344337,0.00636885101457166,0.159344049846401,-2902.78884703916,0.851470108187734,1
