"sample","sigma","theta","bNina","bNino","beta_out","alpha","delta","muEI","muIR","muRS","tau","rho","S_0","E_0","I_0","R_0","K_0","F_0","sig_obs","loglik","loglik.se","flag"
1,0.0526443124437742,5.91521549162714,0,0,0.00388455702556626,1.01700493798564,0.0166666666666667,40.2243888261399,366.432761335492,0.847322384280555,0.0206253515396573,0.00347511677176914,0.63201465615384,0.010219533033215,0.00477516737386094,0.352990643439084,0.00324348824152706,0.00254734975037678,0.109588140103462,-3382.49825282406,6.82563755585269,1
2,0.0594022800316392,3.79452112708566,0,0,1.12926023796289e-05,0.88634143730452,0.0166666666666667,30.9626464639837,92.5596278320934,1.36333545198358,0.0117160675408881,0.00653244492216916,0.980001125794396,0.0038727568714852,0.0100822205983815,0.00604389673573727,0.00783673579706746,0.00723024441629705,0.0563480000731481,-3354.83257432565,5.36411549774895,1
3,0.144453559035633,4.49800106449597,0,0,4.87885027826489e-07,0.778248151263938,0.0166666666666667,354.074504479162,1704.61441612869,0.0103082364764891,0.08659620471267,0.0253612386785174,0.841249384285126,0.00088270558949831,0.00169864113038468,0.156169268994991,0.00953539372194182,0.00487013444422134,0.101148925818472,-3395.33194753303,2.54100285741531,1
4,0.0595002483796512,4.63843753984021,0,0,0.000138841122482629,0.880307247373889,0.0166666666666667,83.1694360990362,315.325965251851,107.446960668889,0.0284725599293932,0.00204295793590812,0.720131094007343,0.00456819321149639,0.00447431424275398,0.270826398538407,0.00553344537810768,0.00807372284377389,0.116920186046056,-3313.26605437044,2.01380847520454,1
5,0.0658861923509652,2.03004394156281,0,0,2.47226108305564e-05,0.97092453834479,0.0166666666666667,27.4571682831239,85.6396334281834,0.889897605965176,0.00110630333329003,0.00334977706779727,0.642495102432418,0.00799222921604978,0.009109619504679,0.340403048846853,0.00688009070135457,0.00399367115321851,0.0398856065429556,-3332.28899177318,6.8958764809997,1
6,0.000167126447781021,2.50621023141171,0,0,2.41455621060848e-06,0.987705680481396,0.0166666666666667,33.1103238510951,269.09326121207,0.58553664503377,0.000951339314930805,0.00968433247236972,0.921335449612556,0.00206518044752062,0.00257346181202927,0.0740259081278945,0.00212649939979136,0.00828024139521988,0.36227797376452,-6103.33413325244,3.22407392950281,1
7,0.0408966167478012,4.48581520724747,0,0,0.000697980213595881,1.00117356077498,0.0166666666666667,35.826649157272,103.059337525485,0.483206564024663,0.00323568527772734,0.00482820296983548,0.775524947356095,0.00509717007859777,0.00525073899276867,0.214127143572539,0.00397095847786477,0.00127171378409748,0.121683444263225,-3441.56443559661,0.903446423300826,1
8,0.000639908333987214,6.24390144699082,0,0,2.14492852937198e-05,0.988635347322442,0.0166666666666667,29.8890319328862,3205.86002336751,0.362150207194589,0.00591527864421041,0.0052489013736177,0.675120577185077,0.00696835035134771,4.97688493235314e-05,0.317861303614251,0.00883661364923146,0.00566871062672446,0.344112024489536,-4392.29829736211,0.658226430822886,1
9,0.0423371282421444,5.75359609702841,0,0,0.000589168706510577,1.00751036341694,0.0166666666666667,104.161171103222,338.934274904715,0.417059438857008,0.02550334452737,0.00694858004141415,0.891440092724909,0.00336809208178335,0.00286840824151396,0.102323406951794,0.00142034537642908,0.00317644861856323,0.0606887953223082,-3499.87961897617,17.6163176644998,1
10,0.0536922680695122,2.98952236069874,0,0,0.000680723945096359,1.01794583540729,0.0166666666666667,37.7484771244946,47.4531530215556,2.56230348045153,0.00231745021222614,0.00218442081913338,0.630768790564157,0.0103419921171458,0.00824891811634409,0.350640299202353,0.00612830156560483,0.00732463455887124,0.106094126020932,-3312.09376290952,1.12049032069168,1
