sigma,theta,bNina,bNino,beta_out,alpha,muEI,muIR,muRS,tau,rho,S_0,E_0,I_0,R_0,K_0,F_0,sig_obs,delta
0.001052734375,1.9921875,-0.8671875,1.962890625,8.505859375e-4,0.994921875,35.69205729166667,20.863932291666664,2.2021484375,0.007697265625,0.005115234375,0.5283203125,0.00818359375,0.00380859375,0.2548828125,0.003232421875,0.002494140625,0.09870576935354622,0.01666666666666666
0.005552734375,3.9921875,1.1328125,0.462890625,4.005859375e-4,0.894921875,23.525390625,33.030598958333336,3.9521484375,0.003197265625,0.029615234375,0.7783203125,0.00318359375,0.00880859375,0.0048828125,0.007732421875,0.006994140625,0.09155188659206034,0.01666666666666666
0.007802734375,0.9921875,-1.8671875,1.212890625,1.755859375e-4,0.944921875,17.442057291666668,14.780598958333332,1.3271484375,0.009947265625,0.041865234375,0.6533203125,6.835937500000001e-4,0.00130859375,0.1298828125,0.009982421875,0.004744140625,0.17578558614477519,0.01666666666666666
0.003302734375,2.9921875,0.1328125,2.712890625,6.255859375000001e-4,0.844921875,29.608723958333336,26.947265625,3.0771484375,0.005447265625,0.017365234375,0.9033203125,0.00568359375,0.00630859375,0.3798828125,0.005482421875,0.009244140625,0.11507712769089268,0.01666666666666666
0.004427734375,0.4921875,-0.3671875,0.087890625,2.880859375e-4,0.819921875,32.650390625,36.072265625,1.7646484375,0.008822265625,0.035740234375,0.5908203125,0.00693359375,0.00755859375,0.3173828125,0.006607421875,0.003619140625,0.08218360060127453,0.01666666666666666
0.008927734375,2.4921875,1.6328125,1.587890625,7.380859375e-4,0.919921875,20.483723958333336,23.905598958333336,3.5146484375,0.004322265625,0.011240234375,0.8408203125,0.00193359375,0.00255859375,0.0673828125,0.002107421875,0.008119140625,0.18011206468800084,0.01666666666666666
0.006677734375,1.4921875,-1.3671875,2.337890625,9.630859375e-4,0.8699218750000001,14.400390625,29.988932291666664,0.8896484375,0.006572265625,0.023490234375,0.7158203125,0.00443359375,0.00505859375,0.1923828125,0.004357421875,0.001369140625,0.16086271647363903,0.01666666666666666
0.002177734375,3.4921875,0.6328125,0.837890625,5.130859375e-4,0.969921875,26.567057291666668,17.822265625,2.6396484375,0.002072265625,0.047990234375,0.9658203125,0.00943359375,5.859375e-5,0.4423828125,0.008857421875,0.005869140625,0.10463428761577234,0.01666666666666666
0.002740234375,0.7421875,1.8828125,2.900390625,3.4433593749999997e-4,0.957421875,34.171223958333336,28.468098958333336,1.5458984375,0.001509765625,0.038802734375,0.8095703125,0.00380859375,0.00318359375,0.0986328125,0.001544921875,0.003056640625,0.10098065444035456,0.01666666666666666
0.007240234375,2.7421875,-0.1171875,1.400390625,7.943359375e-4,0.857421875,22.004557291666668,16.301432291666664,3.2958984375,0.006009765625,0.014302734375,0.5595703125,0.00880859375,0.00818359375,0.3486328125,0.006044921875,0.007556640625,0.12045082616386936,0.01666666666666666
0.009490234375,1.7421875,0.8828125,0.650390625,5.693359375e-4,0.907421875,15.921223958333332,34.55143229166667,0.6708984375,0.003759765625,0.002052734375,0.9345703125,0.00630859375,6.835937500000001e-4,0.4736328125,0.008294921875,0.005306640625,0.15825216619996357,0.01666666666666666
