sigma,theta,phi,bNina,bNino,beta_out,alpha,muEI,muIR,muRS,tau,rho,S_0,E_0,I_0,R_0,K_0,F_0,sig_obs,delta
0.001052734375,1.9921875,85.4296875,0,0,9.771484375e-4,0.993359375,20.863932291666664,24.000651041666668,1.0810546875,0.001755859375,0.003775390625,0.9091796875,0.00380859375,0.00509765625,0.1240234375,0.002494140625,0.002353515625,11.26953125,0.01666666666666666
0.005552734375,3.9921875,35.4296875,0,0,5.271484375000001e-4,0.8933593750000001,33.030598958333336,36.167317708333336,2.8310546875,0.006255859375,0.028275390625,0.6591796875,0.00880859375,9.765625e-5,0.3740234375,0.006994140625,0.006853515625,6.26953125,0.01666666666666666
0.007802734375,0.9921875,60.4296875,0,0,7.521484375e-4,0.843359375,14.780598958333332,17.917317708333332,3.7060546875,0.008505859375,0.016025390625,0.5341796875,0.00130859375,0.00259765625,0.4990234375,0.004744140625,0.009103515625,13.76953125,0.01666666666666666
0.003302734375,2.9921875,110.4296875,0,0,3.021484375e-4,0.943359375,26.947265625,30.083984375,1.9560546875,0.004005859375,0.040525390625,0.7841796875,0.00630859375,0.00759765625,0.2490234375,0.009244140625,0.004603515625,8.76953125,0.01666666666666666
0.004427734375,0.4921875,22.9296875,0,0,1.896484375e-4,0.968359375,36.072265625,20.958984375,3.2685546875,0.007380859375,0.009900390625,0.8466796875,0.00755859375,0.00634765625,0.3115234375,0.003619140625,0.003478515625,7.51953125,0.01666666666666666
0.008927734375,2.4921875,72.9296875,0,0,6.396484375e-4,0.868359375,23.905598958333336,33.12565104166667,1.5185546875,0.002880859375,0.034400390625,0.5966796875,0.00255859375,0.00134765625,0.0615234375,0.008119140625,0.007978515625,12.51953125,0.01666666666666666
0.006677734375,1.4921875,97.9296875,0,0,4.146484375e-4,0.818359375,29.988932291666664,14.875651041666666,0.6435546875,0.005130859375,0.022150390625,0.7216796875,0.00505859375,0.00384765625,0.1865234375,0.001369140625,0.005728515625,5.01953125,0.01666666666666666
0.002177734375,3.4921875,47.9296875,0,0,8.646484375000001e-4,0.918359375,17.822265625,27.042317708333336,2.3935546875,0.009630859375,0.046650390625,0.9716796875,5.859375e-5,0.00884765625,0.4365234375,0.005869140625,0.001228515625,10.01953125,0.01666666666666666
0.002740234375,0.7421875,116.6796875,0,0,8.083984375e-4,0.980859375,28.468098958333336,19.438151041666668,1.2998046875,0.007943359375,0.031337890625,0.6904296875,0.00318359375,0.00197265625,0.0302734375,0.003056640625,0.002916015625,9.39453125,0.01666666666666666
0.007240234375,2.7421875,66.6796875,0,0,3.583984375e-4,0.880859375,16.301432291666664,31.604817708333336,3.0498046875,0.003443359375,0.006837890625,0.9404296875,0.00818359375,0.00697265625,0.2802734375,0.007556640625,0.007416015625,14.39453125,0.01666666666666666
0.009490234375,1.7421875,41.6796875,0,0,5.833984375e-4,0.8308593750000001,34.55143229166667,13.354817708333332,3.9248046875,0.001193359375,0.043587890625,0.8154296875,6.835937500000001e-4,0.00947265625,0.4052734375,0.005306640625,0.009666015625,6.89453125,0.01666666666666666
0.004990234375,3.7421875,91.6796875,0,0,1.333984375e-4,0.930859375,22.384765625,25.521484375,2.1748046875,0.005693359375,0.019087890625,0.5654296875,0.00568359375,0.00447265625,0.1552734375,0.009806640625,0.005166015625,11.89453125,0.01666666666666666
0.003865234375,1.2421875,54.1796875,0,0,2.458984375e-4,0.955859375,13.259765625,22.479817708333336,3.4873046875,0.004568359375,0.037462890625,0.5029296875,0.00943359375,7.2265625e-4,0.3427734375,0.004181640625,0.004041015625,10.64453125,0.01666666666666666
0.008365234375,3.2421875,104.1796875,0,0,6.958984375e-4,0.8558593750000001,25.426432291666668,34.646484375,1.7373046875,0.009068359375,0.012962890625,0.7529296875,0.00443359375,0.00572265625,0.0927734375,0.008681640625,0.008541015625,5.64453125,0.01666666666666666
0.006115234375,0.2421875,79.1796875,0,0,4.708984375e-4,0.805859375,19.343098958333332,16.396484375,0.8623046875,0.006818359375,0.049712890625,0.8779296875,0.00693359375,0.00822265625,0.2177734375,0.001931640625,0.006291015625,13.14453125,0.01666666666666666
0.001615234375,2.2421875,29.1796875,0,0,9.208984375e-4,0.905859375,31.509765625,28.563151041666664,2.6123046875,0.002318359375,0.025212890625,0.6279296875,0.00193359375,0.00322265625,0.4677734375,0.006431640625,0.001791015625,8.14453125,0.01666666666666666
0.001896484375,0.1171875,69.8046875,0,0,6.677734375000001e-4,0.899609375,24.666015625,29.323567708333336,1.4091796875,0.008224609375,0.042056640625,0.9873046875,0.00662109375,4.1015625e-4,0.0771484375,0.006712890625,0.005447265625,13.45703125,0.01666666666666666
0.006396484375,2.1171875,119.8046875,0,0,2.177734375e-4,0.999609375,12.499348958333332,17.156901041666668,3.1591796875,0.003724609375,0.017556640625,0.7373046875,0.00162109375,0.00541015625,0.3271484375,0.002212890625,0.009947265625,8.45703125,0.01666666666666666
0.008646484375,1.1171875,94.8046875,0,0,8.927734375e-4,0.949609375,30.749348958333336,35.40690104166667,2.2841796875,0.001474609375,0.029806640625,0.6123046875,0.00912109375,0.00791015625,0.4521484375,0.008962890625,0.007697265625,10.95703125,0.01666666666666666
0.004146484375,3.1171875,44.8046875,0,0,4.427734375e-4,0.849609375,18.582682291666668,23.240234375,0.5341796875,0.005974609375,0.005306640625,0.8623046875,0.00412109375,0.00291015625,0.2021484375,0.004462890625,0.003197265625,5.95703125,0.01666666666666666
0.005271484375,1.6171875,107.3046875,0,0,3.302734375e-4,0.874609375,15.541015625,26.281901041666668,2.7216796875,0.004849609375,0.048181640625,0.7998046875,3.7109375e-4,0.00166015625,0.2646484375,0.007837890625,0.002072265625,7.20703125,0.01666666666666666
0.009771484375,3.6171875,57.3046875,0,0,7.802734375e-4,0.974609375,27.707682291666668,14.115234375,0.9716796875,0.009349609375,0.023681640625,0.5498046875,0.00537109375,0.00666015625,0.0146484375,0.003337890625,0.006572265625,12.20703125,0.01666666666666666
0.007521484375,0.6171875,32.3046875,0,0,0.00010527343750000001,0.924609375,21.624348958333336,32.365234375,1.8466796875,0.007099609375,0.035931640625,0.6748046875,0.00287109375,0.00916015625,0.1396484375,0.005587890625,0.008822265625,9.70703125,0.01666666666666666
0.003021484375,2.6171875,82.3046875,0,0,5.552734375e-4,0.8246093750000001,33.791015625,20.198567708333336,3.5966796875,0.002599609375,0.011431640625,0.9248046875,0.00787109375,0.00416015625,0.3896484375,0.001087890625,0.004322265625,14.70703125,0.01666666666666666
0.002458984375,1.3671875,38.5546875,0,0,6.115234375e-4,0.887109375,23.145182291666668,24.761067708333336,1.6279296875,0.002037109375,0.014494140625,0.6435546875,0.00599609375,0.00728515625,0.0458984375,0.007275390625,0.004884765625,5.33203125,0.01666666666666666
0.006958984375,3.3671875,88.5546875,0,0,1.615234375e-4,0.987109375,35.311848958333336,12.594401041666666,3.3779296875,0.006537109375,0.038994140625,0.8935546875,9.9609375e-4,0.00228515625,0.2958984375,0.002775390625,0.009384765625,10.33203125,0.01666666666666666
0.009208984375,0.3671875,113.5546875,0,0,8.365234375e-4,0.937109375,17.061848958333332,30.84440104166667,2.5029296875,0.008787109375,0.002244140625,0.7685546875,0.00849609375,0.00478515625,0.4208984375,0.009525390625,0.007134765625,7.83203125,0.01666666666666666
