"sample","sigma","theta","phi","bNina","bNino","beta_out","alpha","delta","muEI","muIR","muRS","tau","rho","S_0","E_0","I_0","R_0","K_0","F_0","sig_obs","loglik","loglik.se","flag"
1,0.000610284738341825,-0.801422953689164,414.798426524877,0,0,1.20779458409375e-05,0.99496119915057,0.0166666666666667,86.5733573381222,66.2703059932767,0.711275522591178,0.0229781251252891,0.00335828022239922,0.860389546148231,0.00370461160457892,0.00513080424384889,0.130775038003341,0.002494561971092,0.00236857869089823,0.292316427756801,-5571.90112167381,1.05110190642428,1
2,0.0579097022983694,4.61823282199648,84.2111790473916,0,0,0.0036004400690307,0.976687816781405,0.0166666666666667,58.2358308227105,14252.7181898348,1.164611572782,0.0321394618896998,0.00688040658191105,0.606397364115984,0.00881445765001139,9.82267512580677e-05,0.384689951482747,0.0069493141882963,0.0072454722767832,0.148720444736514,-3332.85301702693,1.82827951709671,1
3,0.102720211561192,3.90045977354276,150.399521008075,0,0,3.67405320990316e-05,0.842926892729928,0.0166666666666667,30.0181763828793,898.819679460891,417.045763718871,0.0428532759610574,0.0665338327697445,0.517442205691758,0.00126761515141251,0.00243928303997707,0.478850896116853,0.00498599199268233,0.0098975962010986,0.0496281306692718,-3426.2623503314,15.4141638271974,1
4,0.0889242040377247,5.12048356645749,144.199818399185,0,0,0.000748204474209054,0.872283232107204,0.0166666666666667,21.4033919939326,750.828778770804,588.140481278879,0.00841638140396432,0.0097167687753442,0.752935416249792,0.00533397074993774,0.00751520863204048,0.23421540436823,0.00966024347491712,0.00432243445271069,0.114591641274849,-3308.16708194303,1.14525652153886,1
5,0.0600550500598641,-0.80980790521113,6.6258371997928,0,0,6.36644275950697e-06,0.985108888810396,0.0166666666666667,23.1189654599745,147.198289066758,1.36543996055913,0.000312086490356851,0.00296402418908189,0.736269413037583,0.00647526048487257,0.00587948574706076,0.251375840730484,0.00382544854675003,0.00332016361635438,0.0615135160841991,-3305.90381095746,8.15333315408284,1
6,0.0729001360553129,-0.255299935681035,274.79162404246,0,0,0.000645511217323216,0.921329467585119,0.0166666666666667,28.6580972600221,96.73806532356,0.918290104880543,0.00870957360365439,0.00818897297633598,0.888339441617241,0.00412007670729815,0.00221648832167833,0.105323993353783,0.00823527262770761,0.00820236227838484,0.117320344243157,-3294.59991029946,0.767482284524408,1
7,0.0833197054487728,0.797718549127892,438.717707448953,0,0,8.22047153225194e-06,0.927126023059808,0.0166666666666667,20.8058194790637,275.828438835649,0.063616795487303,0.00520240065071749,0.0124532944719989,0.801522656856154,0.0051570910710562,0.00460064936288546,0.188719602709904,0.00140364990894493,0.00575023826222254,0.138149837805145,-3625.06500315131,6.4723966320838,1
8,0.00102374247099486,-0.53129687030199,269.746456994277,0,0,2.66194778436205e-05,0.999657117806702,0.0166666666666667,339.109144646926,105.59365998536,0.619713176016486,0.0299524957580323,0.00372911321119645,0.684064346087423,3.73807564712724e-05,0.00738337023866297,0.308514902917443,0.00543647741955147,0.00122672328724515,0.436372477507965,-4301.69043299565,2.92249633203979,1
9,0.0554929874491351,2.45597032278082,23.7966605486354,0,0,2.74007235767044e-05,0.976516177740477,0.0166666666666667,23.8693827933215,66.6661248888108,0.190347210030062,0.00299612683628243,0.00688186540911717,0.950402231494319,0.00437490965527253,0.00276051164781789,0.0424623472025901,0.00317639933978707,0.002815793807553,0.0687231697864051,-3793.2746608742,5.69166578233541,1
10,0.00133105248641047,6.0059576930429,36.7463985087949,0,0,0.000214140048896102,0.998987030696075,0.0166666666666667,78.8187029317145,350.563721994711,1.84182267184996,0.0279610702003085,0.00246703479905573,0.758637437307126,0.00711508640424302,0.00599527495160011,0.228252201337031,0.00697182522406094,0.00781959696378693,0.369142106511089,-8113.98477190392,1.86815122895629,1
