"sample","sigma","kappa","W_max","n1","n2","K_a","K_b","theta","bNina","bNino","beta_out","alpha","delta","muEI","muIR","muRS","tau","rho","S_0","E_0","I_0","R_0","K_0","F_0","W_0","sig_obs","loglik","loglik.se","flag"
1,0.000162590075254067,3.9e-05,126.207536397761,34.6558301440327,0.119794349544107,0.201454837775696,0.807638396946231,5.41300650682395,0,0,0.00608816492066655,1.35410964318918,0.0166666666666667,26.7389004468511,19.0467652399737,4.10259450919646,0.00272743871242234,0.00745985235388555,0.913477604269972,0.00823980692571797,0.00902928197697174,0.0692533068273382,0.00690169577903152,0.00723697808750833,0.0395815851484127,0.485054665691417,-3272.41302243717,0.170803964762217,1
2,0.186865133502549,3.9e-05,2.694542088011,3.01129286889959,5.37321780397775,0.0743833286672783,0.894619853207325,1.44205487990419,0,0,9.6072844445145e-05,0.815218381823842,0.0166666666666667,5.15158269198045,254.083303706902,0.521835086469127,0.0007349590845643,0.00459868156294246,0.629861954218326,0.00335681567602656,0.00333849737182095,0.363442732733826,0.00210809444889009,0.00227760058423229,0.0154780051170097,0.223766721635049,-2947.80690761409,0.694821699813206,1
3,0.00253171633193028,3.9e-05,22.6983567089144,18.536023214051,0.999891648655921,0.0135350492784882,0.99443158215384,1.13177552478119,0,0,6.92019087847187e-06,0.721848390120269,0.0166666666666667,5.35916615238568,360.753514430065,156.680820553683,0.00136557090205219,0.0674573406470002,0.808610285872733,0.00592550011554655,0.000734141007809456,0.184730073003911,0.00395785679446378,0.00890423599142135,0.0291870777159579,0.696997350381588,-3249.81791226442,0.0262435874091333,1
4,0.0808832247645293,3.9e-05,32.1886011593283,3.6334881805237,0.704598507056852,0.0095511134495169,0.944389368913021,3.97011974656173,0,0,4.17692895493891e-05,1.06626263725526,0.0166666666666667,9.33406306479888,96.0073214100877,1.97917178946907,0.00150313633410665,0.0715504789729693,0.643828500451359,0.000313037112317685,0.00372843935258082,0.352130023083742,0.00934212031710626,0.00404428444773982,0.00217163335342655,0.345513782822984,-3012.21790335098,0.641225921933235,1
5,0.000185069539624549,3.9e-05,14.4559476761316,2.97646774665692,1.6355105398826,0.00926474170764545,0.589696285070343,5.89231953190841,0,0,0.00172342592766718,0.909986806258535,0.0166666666666667,4.73645442588284,182.700495096855,10.1085266363171,0.00676724464178278,0.0037950879924732,0.909940938138293,0.00726027672957987,0.00827591639957828,0.0745228687325493,0.00311882448777275,0.00569652374857381,0.0475658755178051,0.68282057660441,-3312.78761734483,0.00991469998828827,1
6,3.50105403747222e-05,3.9e-05,0.198986462043194,2.49483719380391,2.17112950836527,0.0267013543680306,0.984999443846152,4.63987238817078,0,0,7.4135574148599e-05,0.870903079018225,0.0166666666666667,8.28726135595952,656.835649761305,5.78681976887021,0.00269127943219459,0.269444557564222,0.648425437906019,0.000173597602031352,0.00112353501530854,0.350277429476642,0.00734337321247673,0.0090953964274666,0.0231609107413476,0.693224744567825,-3223.14097970471,0.0464260492420421,1
7,0.000626917007554876,3.9e-05,1.28997720914942,0.00747842371936408,29.3955949185488,0.0128443686628511,0.996033319309612,3.86638848671109,0,0,0.000655127562542717,0.765192842303043,0.0166666666666667,5.05409134800549,419.470055927373,0.177195694035336,0.0027103006818304,0.0155516041141402,0.782913697587519,0.008950732907468,0.00483067928837757,0.203304890216635,0.00958439400488024,0.00330395983768135,0.0304904020787016,0.732675069871703,-3194.98282159909,0.0127826792699136,1
8,0.000207491804502475,3.9e-05,175.158331207666,1.49888049841937,10.3663457073879,0.435107841974027,0.996643564443706,6.3455002374814,0,0,0.00199344623694464,1.33693963819187,0.0166666666666667,33.7607722401382,42.2628863703292,38.522043501473,0.00268232754895269,0.0195459697957027,0.689399472028703,0.00219873995786628,0.0065988730066362,0.301802915006795,0.00552065533951883,0.00744641582348978,0.0107563568690493,0.607065743164467,-3183.38044484553,6.77240680370136,1
9,0.261179489760739,3.9e-05,45.986060175446,2.66642507100889,0.25992892979872,0.0115708751042912,0.969789024818276,1.95214973111388,0,0,0.0171336768830595,0.482506175684966,0.0166666666666667,6.55833212064506,95.7932586123313,318.81730240707,0.052143586865113,0.00106340658143743,0.696423748300035,0.00293808613943993,0.00372200585551549,0.296916159705009,0.00599428900507309,0.00643198500162097,0.046195727528613,0.22426469788484,-2902.34923110318,0.552113191578897,1
10,0.229110405906503,3.9e-05,8.70728279581143,225.998005463026,2.61335142347269,0.160236163646021,0.972499496794563,3.90999262550081,0,0,0.0315301093257238,0.819180392211167,0.0166666666666667,6.09011240999096,48.4622188503224,6.10460610200044,0.00569566247977717,0.000945441447937107,0.85231466695275,0.00995674465562008,0.0115326534559156,0.126195934935714,0.00157162479145515,0.00209402888100144,0.0160688534910716,0.201398547713301,-2929.14205757395,0.713924045521816,1
1,0.30309111183892,3.9e-05,10.5798929750727,4.37059385370335,28.9503752521746,0.176527019205123,0.997080878451674,-1.69600901283027,0,0,0.000480207853981152,0.421871258589319,0.0166666666666667,4.53161691538975,9.81692297141651,220.345306536807,0.00336688170938604,0.013874266487941,0.825174285093389,0.00130204199562124,0.00899679886397664,0.164526874047013,0.00359280556807279,0.00887469387377014,0.0188373729483815,0.291393963053762,-2950.22855512217,0.64892824631223,1
