"sample","sigma","kappa","W_max","n1","n2","K_a","K_b","theta","bNina","bNino","beta_out","alpha","delta","muEI","muIR","muRS","tau","rho","S_0","E_0","I_0","R_0","K_0","F_0","W_0","sig_obs","loglik","loglik.se","flag"
1,0.259873681129093,3.9e-05,4.85468226677932,8.52022579637395,0.358602914747013,0.00512267101138943,0.999769380671494,-0.685083896431598,0,0.502428261673952,0.000181843555241331,0.179072881708924,0.0166666666666667,3.62594598712026,4.16678560286099,0.572205641093635,0.0108744295022852,0.00185027876866569,0.51127500747774,0.00702160197705973,0.00590643053307218,0.475796960012128,0.00619153879412573,0.00217838627492294,0.0296513131823412,0.254393087130876,-2953.69277805168,1.03074460142704,1
2,4.66905285552344e-05,3.9e-05,131.760762774705,52.0151076365831,0.0217765003529472,0.17888551872759,0.8736877576927,0.459152945924568,0,0.429574976660367,0.0011149891655992,0.825100927468391,0.0166666666666667,19.0811781442773,7.24130779495904,0.117341166914371,0.00272394953841456,0.0347995183825948,0.772884047219751,0.00187844052139511,0.000266478640793219,0.224971033618061,0.00283317116635662,0.00742127684103859,0.00519094484561257,0.547675855808759,-3185.75401886649,0.0242001132928751,1
3,0.0747818317278907,3.9e-05,1.18991297987625,0.15669986945451,5.26288196327561,0.0134194134386388,0.778129343674058,3.23052974955658,0,0.261327617261855,0.000178772219213333,0.773535462677269,0.0166666666666667,4.94398574825883,95.3953469271305,1.55183555847234,0.00296130150360923,0.0450519025602438,0.944487847531551,0.000698367433421139,0.00883763319622607,0.0459761518388021,0.00860060078091371,0.00547886420469613,0.0526564655462994,0.403615843086995,-3035.45619387259,0.645559504193658,1
4,0.215979275506854,3.9e-05,7.00278019148142,27.3744520629988,0.280026207675267,0.34459508538363,0.975124659468499,3.23248312423274,0,0.666588972289384,0.000262049391942562,0.962909229375828,0.0166666666666667,6.08778808768565,165.806969571931,0.582076743623755,0.00167015771214448,0.0166768830890919,0.657515238349439,0.00648654877176686,0.00165336298642224,0.334344849892372,0.00389979320253337,0.00100924637351541,0.0253241178237234,0.310297353276526,-2984.32662008025,0.156627606163677,1
5,0.000840664842121044,3.9e-05,178.585984605605,0.237146855225823,0.956966112493229,0.64444196091956,0.999845822689004,-2.80021315624099,0,0.599933399199571,0.00374683273945896,0.202578026315273,0.0166666666666667,14.3256603582105,61.8885492607657,15.7425882265587,0.00271025079542529,0.00970547666434709,0.808436386005805,0.00375369217197106,0.00504997462635331,0.18275994719587,0.00157694086077229,0.00709670278072804,0.0354631240859869,0.585341794627905,-3158.64514992312,0.248462178999741,1
6,0.000174445819263017,3.9e-05,69.7407312151728,0.0678373993765055,5.23285683296824,0.698467955979808,0.999302936188319,0.598375262662355,0,0.431497005416836,0.000670743877542701,0.54184787269922,0.0166666666666667,12.0189215562468,341.682659042246,0.471219436340626,0.00270222464645012,0.0454336196080609,0.715199116939241,0.00519458129021735,0.00624444938962411,0.273361852380918,0.00618918955701184,0.00348926898302591,0.0110774818925498,0.673166593691108,-3156.22079516118,0.038567338292059,1
7,0.000337381624464816,3.9e-05,126.942890725436,23.3478561035574,4.73261416710569,0.175793699056877,0.999544698201182,3.63375711909328,0,0.433073541076011,0.000855876499289983,0.891408688402818,0.0166666666666667,16.6877911739906,320.980799140686,51.2426867128931,0.00269035612160809,0.0431152919431299,0.715751458003347,0.00190505432435343,0.000366971680773144,0.281976515991526,0.00779044873907668,0.00201244691141631,0.0135760008521009,0.539213916260684,-3165.0501323642,0.310773586924966,1
8,0.260154088223612,3.9e-05,30.0101469877828,11.8556081821285,6.98282760293823,0.00425680754751769,0.996984388317298,-0.594230764857004,0,0.115636038116717,0.00042043798832901,1.37630582191633,0.0166666666666667,7.16041351204234,4.00501777600434,0.209810726493424,0.0004118882266991,0.00111916960576223,0.950533008916719,0.0062955207952471,0.00523980273901057,0.0379316675490231,0.00261163654767136,0.00618207379329734,0.0398912080952888,0.154570364975099,-2930.77798966101,0.507134877853579,1
9,0.00135807647077431,3.9e-05,204.265102013244,1.60437021688757,95.5934569357705,0.973975972822742,0.997869365939454,-2.7626297266012,0,0.721030527529763,0.00304504389211522,0.291681305682153,0.0166666666666667,27.5210540352691,8.80854457058752,19.8969140369496,0.00274648450271432,0.0141383213436978,0.683206256936479,0.00290946122144586,0.00551882041759784,0.308365461424478,0.00511867365052759,0.00435911144921451,0.00252735913010075,0.641508950197711,-3154.70620266146,0.0693526416199016,1
10,0.277122541914042,3.9e-05,0.117799908586752,5.36649924619907,3.00653182922289,0.0071364729703429,0.964955622300564,-0.274999170617806,0,0.362293077643643,0.0008967462342145,0.406959720122201,0.0166666666666667,4.27743692808127,2873.88462104664,0.167622728714228,0.00124399670485838,0.00206824852114286,0.787907052635996,0.0114750466045239,0.00368481878060884,0.196933081978871,0.0091971656312027,0.00850405231288105,0.0267757996104668,0.242616572974939,-2966.81370092092,1.29622988944591,1
