"sample","sigma","kappa","W_max","n1","n2","K_a","K_b","theta","bNina","bNino","beta_out","alpha","delta","muEI","muIR","muRS","tau","rho","S_0","E_0","I_0","R_0","K_0","F_0","W_0","sig_obs","loglik","loglik.se","flag"
1,0.00027870272233038,3.9e-05,30.4299973812985,5.58734492952674,18.2100873027138,0.0108472648187,0.999600951390593,3.6824196006769,-0.068351408657297,0.237406944908854,0.00180880180178129,0.797484911970441,0.0166666666666667,8.03590851273412,6056.57442913518,0.0590708073956116,0.00264121178232991,0.0138743645862084,0.62279730833393,0.00644437183541342,0.0025147442640367,0.36824357556662,0.00185194026677935,0.00655603435289282,0.0329462063330819,0.654641672817677,-3150.14833718141,0.0343802669163389,1
2,0.000111965940337003,3.9e-05,34.5785017885184,104.807283225852,0.193921190985106,0.0829059053958301,0.88139191824717,4.95461893846217,-0.315808742765204,0.400545321731116,0.000775874954765369,0.859154075158312,0.0166666666666667,5.9987089299814,777.178357811749,17.2435042989056,0.00521479544680656,0.0307449786068034,0.888887103757286,0.00129440704135982,0.00750919924028645,0.102309289961068,0.00610782382187385,0.00183244023078065,0.00473879137871384,0.652866961782903,-3208.78581897695,0.00657421176290871,1
3,0.00106585857939883,3.9e-05,62.1111797583678,32.3476596541124,3.58089440419918,0.406628756734934,0.991252309596353,-3.12450654113911,-0.432066661381865,0.819370759193878,0.0123281245561951,0.08436246251897,0.0166666666666667,172.313008976906,55.4027521084759,0.206136018454655,0.125092224635588,0.00542883734793619,0.679089877259915,0.0053586609881317,0.00294437175176198,0.312607090000191,0.00828248244757085,0.00871323233496247,0.0417885609077717,0.65167638557815,-3136.48324011247,0.00177913991467716,1
4,0.000485179789413457,3.9e-05,68.2939239568901,16.0101699245621,5.37692901502414,0.489346053645765,0.977976421587959,-0.472257587428815,-0.0970121867040076,0.639980047293312,0.00253928711682671,0.664133700881863,0.0166666666666667,11.7586857005013,9.30756082047125,49.2099670015364,0.00270822799018222,0.0150863817127298,0.762204839332944,0.00329382434441516,1.92684878043827e-05,0.234482067834836,0.00407591543650277,0.00439298960313925,0.018781325096453,0.647296721116083,-3158.58848686599,0.258166210900583,1
5,0.238709983221228,3.9e-05,18.882604526005,0.145809053046136,0.56296202112665,0.0298999367425771,0.997491743823046,-0.383454203726043,-0.340046538776779,0.820560023790795,0.00201211532847313,0.553719110443478,0.0166666666666667,8.00185543601595,562.324817347097,5.68929930214995,0.000876138176118944,0.000468885145753775,0.911480486541993,0.00391591478529586,0.00896128251052398,0.0756423161621873,0.00753833363879896,0.00512756453511639,0.0333976145729562,0.188789325539956,-2924.75769236388,0.412254551388969,1
6,0.000184650759056419,3.9e-05,168.422761337676,0.535918539847587,0.248445888418741,0.891685284103559,0.457419689890981,2.48801351021575,-0.146840944411618,0.458626950582246,0.00251818715425358,0.754159279483509,0.0166666666666667,22.0063249733515,51.4426101947257,14.3014192334216,0.00268133961317151,0.0142770057984045,0.75099400470423,0.00593558364679167,0.00116104480420819,0.24190936684477,0.00263636930359951,0.010172780494688,0.0115109817824357,0.576031364902657,-3184.80787707873,0.615946932337216,1
7,0.271739471027854,3.9e-05,64.3176115981316,0.152829838053269,0.0728842789203653,0.52461033634235,0.994978313667273,0.942610343639872,-0.893830112779756,0.558936272309948,0.00016419624078788,0.73947519810048,0.0166666666666667,7.32502090489012,918.458264255938,8.02057032306209,0.00144312231773568,0.0205908083243893,0.784757464426627,2.23266831405529e-05,0.00434073631992413,0.210879472570308,0.00480210541880282,0.00319989372507063,0.0492008718273927,0.155961818628955,-2913.79132109931,0.439963750125752,1
8,0.246965848383742,3.9e-05,31.128882039963,0.0206510385321328,0.345769172675859,0.16176472812653,0.917106665337557,-0.124894770790431,-0.443344322340836,0.128323039417599,0.000597342183046731,0.807714887994157,0.0166666666666667,6.60395346649884,24.0496367031836,0.0551822414176743,0.000911615117071441,0.00358967064066769,0.549843891838821,0.00434124869678013,0.00868115596853335,0.437133703495866,0.00952859231115878,0.00738266762782765,0.0231193952703309,0.190142962720537,-2929.10436346786,2.17546245700191,1
9,0.000139297910021264,3.9e-05,27.5716985260224,8.07368678466617,1.21387167220989,0.00415583266026758,0.932252534131328,2.2299742228459,-0.211157208160543,0.212597563063945,4.12499332473984e-05,0.808106206582948,0.0166666666666667,5.69693144814256,4473.00705458144,1.21246464812642,0.00109038461709305,0.0152957570865251,0.567924495576173,0.0044647818655314,0.0071732288424663,0.420437493715829,0.00116645005924523,0.00801242702113588,0.0454153189165675,0.629569104208909,-3210.14081410253,0.0159066359938927,1
10,0.000257219789851074,3.9e-05,103.29788189144,3.01872772349888,1.66996502597188,0.719021079369506,0.959157352188081,0.814952058000982,-0.384701139841297,0.824446299481124,0.00744617285786972,0.538579665357635,0.0166666666666667,12.3458010955946,216.526476195963,0.110770175038072,0.00270728323517578,0.00653120151262827,0.824840559037416,0.00741611573339502,0.00177763512325586,0.165965690105933,0.00547862452909386,0.00357937785998809,0.0198812991121764,0.615226764300553,-3186.75344614515,0.837184884811568,1
1,0.00123856564378069,3.9e-05,25.393962481697,23.3575405189931,0.655698853993983,0.0196132023161304,0.976113645502055,2.63343615817908,-0.17559762808538,0.219486274159275,0.000231586048834144,0.621084478156482,0.0166666666666667,4.34826671941353,2072.96241839958,0.416631477108447,0.00255360720139412,0.00383095090151254,0.820748374040804,0.0108765506907564,0.0126881758955514,0.155686899372889,0.00149182063504664,0.00923573674750462,0.024285626454019,0.653854119433339,-3148.96846996323,0.0186096412937087,1
2,6.29788739132364e-05,3.9e-05,199.831902906864,173.814250189435,0.854722064215162,0.710072982959628,0.994814749526315,0.324685956298548,-0.660569171383693,0.764580870228282,0.00542482609659275,0.948911945400951,0.0166666666666667,21.2150902675932,2.57774597456771,0.334304805381088,0.00270710375546945,0.00795360783827037,0.697310225499304,0.00272303973157295,0.00392852373201566,0.296038211037107,0.00555746951030298,0.00556453849339003,0.0471826884306868,0.621137787231562,-3171.95849319948,0.00567871020995847,1
3,0.0337380581990831,3.9e-05,10.5719098763518,5.65739915098185,0.0538667039941054,0.0740729214410769,0.841479618288372,-0.582203243620739,-0.143533493530449,0.391894105606721,4.05793350514187e-05,0.823641405585025,0.0166666666666667,7.61552622567797,130.739395272341,0.312380769928657,0.000388427505927374,0.00825694631117098,0.797799764531609,0.00457520686748303,0.00141567598605823,0.19620935261485,0.00797359777564216,0.00762429198139482,0.00831273933557887,0.566791593313903,-3134.20374995984,0.270174457456861,1
